location,temp_c,humidity,pressure_mb,windspeed_kph,pm2_5,pm10,co,no2,hour,day,month,day_of_week,aqi_index
Anand Vihar,8.1,100,995.4,2.9,185.8,188.6,1907,56.7,0,1,1,2,197
Anand Vihar,7.7,100,994.7,3.2,174.6,177.4,1669,44.8,1,1,1,2,198
Anand Vihar,7.5,100,994.3,4.5,164.4,166.7,1493,34.6,2,1,1,2,199
Anand Vihar,7.8,99,994.1,6.0,156.5,158.8,1401,26.7,3,1,1,2,200
Anand Vihar,7.3,100,993.8,6.8,149.5,151.8,1372,20.6,4,1,1,2,200
Anand Vihar,7.6,99,993.9,7.3,156.5,158.3,1387,33.3,5,1,1,2,201
Anand Vihar,8.1,99,994.7,4.8,144.4,146.2,1486,31.4,6,1,1,2,201
Anand Vihar,8.0,99,995.2,4.0,138.3,140.6,1629,28.7,7,1,1,2,201
Anand Vihar,8.4,99,995.7,6.5,136.4,138.8,1683,26.0,8,1,1,2,200
Anand Vihar,9.4,97,996.3,8.0,141.1,143.0,1556,23.3,9,1,1,2,200
Anand Vihar,11.3,89,996.3,8.8,129.9,132.2,1338,20.5,10,1,1,2,200
Anand Vihar,13.1,81,995.9,8.1,122.5,125.3,1169,18.2,11,1,1,2,200
Anand Vihar,14.6,77,994.7,6.3,115.5,118.3,1079,15.4,12,1,1,2,200
Anand Vihar,15.8,73,993.5,6.2,108.7,111.8,1037,13.1,13,1,1,2,200
Anand Vihar,16.5,72,992.6,6.3,103.6,106.6,1085,14.1,14,1,1,2,201
Anand Vihar,16.9,70,992.3,6.9,99.4,102.7,1291,21.0,15,1,1,2,201
Anand Vihar,16.5,72,992.2,6.0,100.4,102.9,1586,31.3,16,1,1,2,201
Anand Vihar,14.9,80,992.2,4.7,148.5,151.8,1813,52.6,17,1,1,2,202
Anand Vihar,12.2,88,994.1,2.8,157.4,160.7,1910,55.0,18,1,1,2,202
Anand Vihar,11.4,90,994.4,3.6,162.1,165.3,1939,58.0,19,1,1,2,201
Anand Vihar,10.9,92,994.7,4.0,167.6,170.4,1917,58.6,20,1,1,2,200
Anand Vihar,10.4,93,994.9,4.4,171.8,174.6,1833,55.1,21,1,1,2,199
Anand Vihar,10.1,94,994.6,4.8,175.1,178.3,1699,49.2,22,1,1,2,198
Anand Vihar,9.6,96,994.2,5.4,174.2,177.0,1573,42.6,23,1,1,2,198
Connaught Place,8.2,100,993.8,1.8,185.8,188.6,1645,56.7,0,1,1,2,197
Connaught Place,7.8,99,993.2,2.5,174.6,177.4,1551,44.8,1,1,1,2,198
Connaught Place,7.6,99,992.8,3.9,164.4,166.7,1478,34.6,2,1,1,2,199
Connaught Place,7.8,98,992.6,5.3,156.5,158.8,1418,26.7,3,1,1,2,200
Connaught Place,7.6,98,992.4,5.9,149.5,151.8,1379,20.6,4,1,1,2,200
Connaught Place,7.9,98,992.5,6.7,156.5,158.3,1377,33.3,5,1,1,2,201
Connaught Place,8.1,97,993.2,3.7,144.4,146.2,1458,31.4,6,1,1,2,201
Connaught Place,8.1,96,993.6,4.0,138.3,140.6,1577,28.7,7,1,1,2,201
Connaught Place,8.6,96,994.2,5.9,136.4,138.8,1615,26.0,8,1,1,2,200
Connaught Place,9.3,96,994.7,8.1,141.1,143.0,1494,23.3,9,1,1,2,200
Connaught Place,11.0,90,994.9,8.5,129.9,132.2,1294,20.5,10,1,1,2,200
Connaught Place,13.1,81,994.5,8.6,122.5,125.3,1131,18.2,11,1,1,2,200
Connaught Place,14.7,77,993.2,6.2,115.5,118.3,1034,15.4,12,1,1,2,200
Connaught Place,15.9,73,992.1,6.2,108.7,111.8,974,13.1,13,1,1,2,200
Connaught Place,16.7,71,991.2,6.5,103.6,106.6,992,14.1,14,1,1,2,201
Connaught Place,17.0,69,990.9,7.4,99.4,102.7,1143,21.0,15,1,1,2,201
Connaught Place,16.5,72,990.8,6.5,100.4,102.9,1370,31.3,16,1,1,2,201
Connaught Place,14.8,80,990.8,5.2,148.5,151.8,1543,52.6,17,1,1,2,202
Connaught Place,12.4,86,992.5,2.3,157.4,160.7,1605,55.0,18,1,1,2,202
Connaught Place,11.6,89,992.9,3.2,162.1,165.3,1613,58.0,19,1,1,2,201
Connaught Place,11.1,90,993.2,3.1,167.6,170.4,1603,58.6,20,1,1,2,200
Connaught Place,10.3,93,993.3,3.7,171.8,174.6,1587,55.1,21,1,1,2,199
Connaught Place,9.6,95,993.1,4.3,175.1,178.3,1553,49.2,22,1,1,2,198
Connaught Place,9.1,96,992.7,4.6,174.2,177.0,1504,42.6,23,1,1,2,198
Dwarka,8.0,100,994.4,2.8,193.7,197.0,1724,74.2,0,1,1,2,197
Dwarka,7.8,100,993.9,3.0,180.7,183.9,1585,58.6,1,1,1,2,198
Dwarka,7.2,100,993.4,3.8,167.6,170.4,1470,45.0,2,1,1,2,199
Dwarka,7.0,100,993.2,4.7,153.2,156.0,1387,33.8,3,1,1,2,201
Dwarka,7.0,99,993.0,5.6,141.6,144.4,1327,24.6,4,1,1,2,202
Dwarka,7.3,99,993.1,6.5,168.1,170.0,1288,46.3,5,1,1,2,203
Dwarka,7.7,96,993.9,3.3,152.7,155.1,1286,42.2,6,1,1,2,204
Dwarka,7.9,96,994.4,4.8,145.8,148.1,1306,36.3,7,1,1,2,204
Dwarka,8.4,92,994.9,5.9,136.0,138.8,1293,31.2,8,1,1,2,203
Dwarka,9.1,96,995.5,8.7,133.6,136.0,1217,27.7,9,1,1,2,202
Dwarka,10.6,92,995.6,9.0,128.1,130.9,1108,24.9,10,1,1,2,202
Dwarka,12.9,81,995.1,9.0,120.6,123.9,1011,22.2,11,1,1,2,203
Dwarka,14.6,77,993.9,6.8,112.2,115.3,924,18.2,12,1,1,2,204
Dwarka,15.9,73,992.8,6.8,103.8,107.1,848,14.4,13,1,1,2,204
Dwarka,16.6,70,991.8,7.3,96.2,99.4,830,14.8,14,1,1,2,205
Dwarka,16.8,70,991.6,8.0,92.4,95.5,908,22.5,15,1,1,2,205
Dwarka,16.2,72,991.5,7.1,93.4,95.9,1044,34.3,16,1,1,2,205
Dwarka,14.5,80,991.6,6.3,149.0,152.7,1169,61.5,17,1,1,2,205
Dwarka,12.1,86,993.1,3.3,162.5,165.8,1264,64.2,18,1,1,2,205
Dwarka,11.4,89,993.4,4.6,165.8,169.0,1349,67.7,19,1,1,2,204
Dwarka,10.6,91,993.9,4.6,167.6,170.4,1416,68.6,20,1,1,2,202
Dwarka,10.2,93,994.0,5.0,168.6,171.8,1468,65.4,21,1,1,2,200
Dwarka,9.9,94,993.7,5.4,170.9,174.2,1503,59.7,22,1,1,2,199
Dwarka,9.6,95,993.4,6.0,170.4,173.2,1505,52.6,23,1,1,2,198
Okhla Phase III,8.6,100,992.4,4.1,193.7,197.0,1645,74.2,0,1,1,2,197
